Metric,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6
Gross Merchandise Value,240000,720000,1320000,2400000,4000000,6400000
Commission Revenue,26400,79200,145200,264000,440000,704000
Delivery Fee Revenue,9000,27000,49500,90000,150000,240000
Subscription Revenue,6000,18000,33000,60000,100000,160000
TOTAL REVENUE,41400,124200,227700,414000,690000,1104000
Rider Costs,12000,36000,66000,120000,200000,320000
Manager Costs,20000,25000,30000,35000,40000,45000
Marketing Costs,15000,30000,50000,65000,80000,95000
Packaging Costs,4500,13500,24750,45000,75000,120000
bKash Fees,3600,10800,19800,36000,60000,96000
Equipment,5000,8000,10000,12000,15000,18000
Insurance,2000,3000,4000,5000,6000,7000
Utilities,1000,5000,8000,13000,19000,25000
TOTAL COSTS,63100,131300,212550,331000,495000,726000
Contribution,21300,63900,117150,213000,355000,568000
Contribution Margin %,51.45%,51.45%,51.45%,51.45%,51.45%,51.45%
Fixed Costs,43000,71000,102000,130000,160000,190000
Net Profit,-21700,-7100,15150,83000,195000,378000
Profit Margin %,-52.42%,-5.72%,6.65%,20.05%,28.26%,34.24%
Active Customers,100,200,350,500,700,1000
Total Orders,300,900,1650,3000,5000,8000
Orders/Day,10.0,30.0,55.0,100.0,166.7,266.7
AOV,800,800,800,800,800,800
CAC,150.0,300.0,333.33,433.33,400.0,316.67
LTV,1278.0,1917.0,2008.29,2556.0,3042.86,3408.0
